page_type,location_country,referrer_host,ua_os,hour,total_orders_placed,total_checkouts,total_carts,total_sessions,total_pageviews,total_conversion,total_bounce_rate,ua_form_factor,referrer_source,referrer_name
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-07-01 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Collection,French Guiana,www.instagram.com,iOS,2020-09-11 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Product,South Georgia and the South Sandwich Islands,Unknown,Linux,2020-09-28 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Serbia,Unknown,iOS,2021-06-06 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Dominica,Unknown,Mac OS X,2020-04-20 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,www.google.com,Android,2021-05-09 22:00:00,1,1,1,3,5,0.3333333333333333,0.3333333333333333,Mobile,Search,Google
Homepage,Dominica,mclean.net,Linux,2020-09-03 14:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,Unknown
Homepage,Bahamas,Unknown,Mac OS X,2020-09-10 05:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Bosnia and Herzegovina,Unknown,Windows,2021-10-31 03:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,iOS,2021-09-15 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Dominica,mclean.net,Android,2021-02-11 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Mac OS X,2021-11-09 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Cyprus,www.google.co.za,Android,2021-11-17 03:00:00,3,3,4,5,15,0.6,0.0,Mobile,Search,Google
Homepage,Iran,Unknown,Android,2019-08-16 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Mayotte,Unknown,Android,2021-09-18 03:00:00,2,2,3,5,12,0.4,0.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,jones-shelton.com,Windows,2020-08-22 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,iOS,2019-10-24 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Gabon,Unknown,Mac OS X,2020-09-28 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Collection,Gabon,Unknown,Linux,2020-09-18 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Gabon,cook.org,Other,2021-01-15 04:00:00,0,0,0,1,1,0.0,1.0,Other,Direct,Unknown
Collection,Cape Verde,www.google.com,iOS,2020-04-13 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Cape Verde,Unknown,Android,2020-11-21 12:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Dominica,Unknown,Windows,2019-07-25 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Dominica,facebook.com,Android,2021-03-22 03:00:00,2,2,4,5,11,0.4,0.0,Mobile,Social,Facebook
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-03-30 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Dominica,Unknown,Android,2021-02-26 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,Android,2021-11-16 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Dominica,Unknown,Android,2019-11-02 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,www.instagram.com,iOS,2019-08-11 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Angola,www.google.com,Linux,2019-08-07 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Product,Dominica,Unknown,Mac OS X,2021-07-08 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,www.google.co.in,Android,2020-05-13 16:00:00,3,5,8,11,11,0.2727272727272727,1.0,Mobile,Search,Google
Homepage,Dominica,Unknown,Android,2020-12-28 22:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Maldives,Unknown,Mac OS X,2021-07-08 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Bosnia and Herzegovina,Unknown,Chrome OS,2020-04-27 08:00:00,3,6,9,13,21,0.2307692307692307,0.3846153846153846,Mobile,Unknown,Unknown
Product,Dominica,Unknown,Android,2019-08-14 17:00:00,2,4,6,8,9,0.25,0.875,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-05-02 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Cape Verde,Unknown,Mac OS X,2021-10-02 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Dominica,Unknown,Windows,2020-07-18 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Cape Verde,Unknown,iOS,2020-07-17 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Cart,Bermuda,Unknown,Android,2021-07-23 08:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,harrell.com,Linux,2021-09-24 00:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Dominica,bowman.info,Android,2020-08-09 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Cape Verde,jones-shelton.com,Windows,2020-11-09 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Checkout,Gabon,mclean.net,Android,2019-08-13 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,Unknown
Homepage,Dominica,Unknown,iOS,2021-05-04 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Gabon,jones-shelton.com,Windows,2020-09-02 21:00:00,1,2,2,3,4,0.3333333333333333,0.6666666666666667,Desktop,Unknown,Unknown
Homepage,Cape Verde,www.google.com,Mac OS X,2021-09-28 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Homepage,Gabon,Unknown,iOS,2021-09-04 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Iran,www.google.com,Android,2020-01-19 23:00:00,1,1,1,3,5,0.3333333333333333,0.3333333333333333,Mobile,Search,Google
Collection,Dominica,Unknown,Windows,2021-09-01 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Martinique,Unknown,iOS,2020-06-21 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,Linux,2021-02-02 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Gabon,Unknown,Linux,2020-10-22 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Cape Verde,www.instagram.com,Windows,2020-08-15 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Product,Dominica,jones-shelton.com,Android,2021-10-19 06:00:00,4,5,6,7,21,0.5714285714285714,0.0,Mobile,Unknown,Unknown
Homepage,Dominica,Unknown,Android,2020-09-20 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Guyana,Unknown,Android,2019-08-09 09:00:00,4,8,11,14,24,0.2857142857142857,0.2857142857142857,Mobile,Unknown,Unknown
Homepage,Cape Verde,l.instagram.com,Android,2020-10-31 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Bosnia and Herzegovina,harrell.com,Linux,2020-05-02 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Mayotte,Unknown,Android,2020-09-11 14:00:00,2,3,4,6,10,0.3333333333333333,0.3333333333333333,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,Android,2020-11-16 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Dominica,Unknown,Windows,2020-09-26 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,jones-shelton.com,iOS,2020-08-10 02:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Falkland Islands (Malvinas),Unknown,Windows,2019-10-24 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Cape Verde,jones-shelton.com,iOS,2021-04-20 09:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Dominica,Unknown,Android,2019-08-07 23:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,www.google.ca,Windows,2020-03-27 04:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Cart,Cyprus,Unknown,Android,2020-11-29 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,jones-shelton.com,iOS,2019-10-17 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Falkland Islands (Malvinas),Unknown,Android,2021-09-16 11:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,jones-shelton.com,Windows,2021-04-04 18:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Cape Verde,mclean.net,Android,2021-02-26 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,Unknown
Homepage,Gabon,Unknown,Linux,2021-08-05 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Linux,2021-08-11 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Dominica,Unknown,Android,2020-02-11 16:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Collection,Bermuda,Unknown,iOS,2019-08-03 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Collection,Cape Verde,Unknown,Linux,2019-08-13 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,jones-shelton.com,Mac OS X,2021-01-01 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Dominica,Unknown,iOS,2020-11-09 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Windows,2019-10-01 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Slovakia (Slovak Republic),Unknown,Android,2021-03-17 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Cape Verde,Unknown,Other,2020-11-21 04:00:00,4,5,6,11,25,0.3636363636363636,0.0,Other,Unknown,Unknown
Product,China,mclean.net,Android,2020-12-16 07:00:00,2,4,6,8,16,0.25,0.0,Mobile,Direct,Unknown
Homepage,Cape Verde,Unknown,iOS,2019-08-15 12:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,iOS,2021-09-13 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Search,Slovakia (Slovak Republic),www.google.com,Android,2021-10-12 08:00:00,2,2,2,5,12,0.4,0.0,Mobile,Search,Google
Product,Dominica,Unknown,Android,2021-04-11 08:00:00,2,2,2,4,8,0.5,0.0,Mobile,Unknown,Unknown
Homepage,Sweden,mclean.net,iOS,2020-06-25 16:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,Unknown
Homepage,Bangladesh,Unknown,Windows,2020-04-08 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Mayotte,Unknown,Android,2020-10-03 16:00:00,2,4,5,8,8,0.25,1.0,Mobile,Unknown,Unknown
Homepage,Gabon,harrell.com,Android,2019-08-13 04:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Dominica,www.instagram.com,Android,2020-08-21 15:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Product,Gabon,Unknown,iOS,2020-12-20 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Bermuda,Unknown,Android,2021-02-19 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Gabon,myers.com,iOS,2020-06-03 16:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Bangladesh,Unknown,Chrome OS,2020-11-24 16:00:00,6,10,11,15,25,0.4,0.3333333333333333,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,Android,2019-08-10 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Botswana,facebook.com,Android,2020-11-01 00:00:00,1,1,2,3,7,0.3333333333333333,0.0,Mobile,Social,Facebook
Homepage,Dominica,mclean.net,Linux,2020-10-06 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,Unknown
Homepage,Bosnia and Herzegovina,Unknown,iOS,2020-12-17 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,mclean.net,iOS,2019-11-24 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,Unknown
Homepage,Bosnia and Herzegovina,myers.com,Android,2021-02-23 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Estonia,Unknown,Mac OS X,2021-02-01 20:00:00,2,4,6,9,15,0.2222222222222222,0.3333333333333333,Desktop,Unknown,Unknown
Product,Bangladesh,Unknown,Other,2019-08-06 04:00:00,7,14,20,21,49,0.3333333333333333,0.0,Other,Unknown,Unknown
Homepage,Slovakia (Slovak Republic),jones-shelton.com,Windows,2020-11-15 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Dominica,mclean.net,iOS,2019-11-27 00:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,Unknown
Homepage,Bosnia and Herzegovina,mclean.net,iOS,2021-12-05 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,Direct,Unknown
Homepage,Falkland Islands (Malvinas),myers.com,Windows Phone,2020-10-20 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,mclean.net,Linux,2020-11-22 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,Unknown
Homepage,Cape Verde,l.instagram.com,iOS,2020-03-24 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Product,Dominica,jones-shelton.com,iOS,2020-04-11 14:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Dominica,m.instagram.com,iOS,2021-12-01 15:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Cape Verde,Unknown,Mac OS X,2019-07-27 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Bosnia and Herzegovina,jones-shelton.com,Linux,2020-10-25 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Croatia,Unknown,Windows,2020-08-28 07:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Gabon,Unknown,iOS,2020-05-26 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Bosnia and Herzegovina,Unknown,Android,2021-11-06 04:00:00,3,3,4,8,19,0.375,0.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,Windows,2020-06-07 11:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Bosnia and Herzegovina,Unknown,iOS,2021-01-25 21:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Indonesia,myers.com,Other,2019-12-28 09:00:00,1,2,3,4,5,0.25,0.75,Other,Unknown,Unknown
Homepage,Iran,m.instagram.com,Mac OS X,2020-09-01 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Product,Dominica,Unknown,Android,2019-09-25 13:00:00,2,4,6,9,10,0.2222222222222222,0.8888888888888888,Mobile,Unknown,Unknown
Product,Gabon,www.instagram.com,Windows,2020-07-03 15:00:00,0,0,0,1,1,0.0,1.0,Desktop,Social,Instagram
Product,Cape Verde,Unknown,Android,2020-12-13 07:00:00,2,2,4,7,15,0.2857142857142857,0.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Windows,2019-10-20 23:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Product,Iran,www.google.com,Linux,2019-08-06 01:00:00,0,0,0,1,1,0.0,1.0,Desktop,Search,Google
Checkout,Dominica,Unknown,Linux,2020-10-21 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Cape Verde,Unknown,iOS,2020-11-18 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,iOS,2020-06-29 07:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Saint Helena,Unknown,iOS,2021-04-04 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,iOS,2021-09-21 18:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-05-26 05:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Gabon,www.instagram.com,iOS,2020-06-22 22:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Western Sahara,facebook.com,Windows,2021-01-03 08:00:00,2,2,4,7,7,0.2857142857142857,1.0,Desktop,Social,Facebook
Homepage,Dominica,Unknown,Android,2021-01-05 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Dominica,mclean.net,Mac OS X,2021-10-09 20:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,Unknown
Cart,Dominica,Unknown,Android,2021-08-15 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,jones-shelton.com,Chrome OS,2019-08-10 12:00:00,1,1,1,3,5,0.3333333333333333,0.3333333333333333,Mobile,Unknown,Unknown
Homepage,Dominica,Unknown,iOS,2020-12-26 20:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,mclean.net,Mac OS X,2021-05-02 21:00:00,0,0,0,1,1,0.0,1.0,Desktop,Direct,Unknown
Homepage,Dominica,Unknown,Windows,2021-02-14 03:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Cape Verde,Unknown,iOS,2019-07-28 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,Android,2019-08-20 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Product,Cape Verde,myers.com,Linux,2021-12-05 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
Homepage,Saint Helena,jones-shelton.com,iOS,2019-08-04 01:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Bosnia and Herzegovina,Unknown,Android,2020-03-17 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Cape Verde,Unknown,Android,2021-09-29 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Vanuatu,Unknown,iOS,2020-05-17 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,Unknown
Homepage,Dominica,Unknown,Mac OS X,2020-10-02 12:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,Unknown
